repository_file,field_category,matched_text,context,line_estimate,source_status,canonical_field,authority,track_name,meeting_date,notes
data\weather-source-audit\turftrax-stream-endpoints\ladbrokes_response.json,IRRIGATION_GENERAL,irrigation,"reports/338681_zones.svg"",       ""goingReport"": 1,       ""haveManualRain"": false,       ""humidity-current"": 63.11,       ""humidity-max"": 98.88,       ""humidity-min"": 62.31,       ""irrigation-report"": ""24hrs: 0mm\r\n7 days: 0mm"",       ""isDemo"": false,       ""isLastMeeting"": false,       ""location-date"": ""Wednesday, 15th July, 2026"",       ""location-title"": ""Sportsbet Hillside 15/07/2026"",       ""location-track-type"": ""N/a"",       ""location-venue"": ""Sportsbet Sandown"",       ""mapName"":",39,DISCOVERED_UNVERIFIED,,,,,
data\weather-source-audit\turftrax-stream-endpoints\ladbrokes_response.json,UPDATED_TIME,updated_at,"Race Window 6\nTurf Report Query:\nSELECT id, map_id, make_date, official_going, additional_comments, weather_comments, stick_comments, status, waypoint_map, zone_map, created_at, updated_at, race_date, watering, rails, stalls, meeting_description\nFROM tthub.going_reports\nWHERE map_id  IN (120,121,248,257,264)\n\n AND race_date BETWEEN \""2026-07-08 00:00:00\"" AND \""2026-07-15 00:00:00\""\nORDER BY race_date DESC, updated_at DESC\n\n\nReturn: 0\nFiltering out AWT Reports\nreport Race D",191,DISCOVERED_UNVERIFIED,,,,,
data\weather-source-audit\turftrax-stream-endpoints\ladbrokes_response.txt,TRACK_CONDITION,going-report,"et-24hr"": 0.53,             ""et-7day"": 2.32,             ""et-since"": 0.12,             ""etEnabled"": true,             ""going-race-date"": ""Wednesday, 15th July, 2026"",             ""going-report"": ""Soft 7 "",             ""going-report-date"": ""Friday, 10th July, 2026 at 7:29 am"",             ""going-waypoint-map"": ""https://api.turftrax.co.uk/maps/going-reports/338681_waypoints.svg"",             ""going-zone-map"": ""https://api.turftrax.co.uk/maps/going-reports/338681_zones.svg"",             ""go",30,DISCOVERED_UNVERIFIED,,,,,
data\weather-source-audit\turftrax-stream-endpoints\ladbrokes_response.txt,IRRIGATION_GENERAL,irrigation,"""goingReport"": 1,             ""haveManualRain"": false,             ""humidity-current"": 63.11,             ""humidity-max"": 98.88,             ""humidity-min"": 62.31,             ""irrigation-report"": ""24hrs: 0mm\r\n7 days: 0mm"",             ""isDemo"": false,             ""isLastMeeting"": false,             ""location-date"": ""Wednesday, 15th July, 2026"",             ""location-title"": ""Sportsbet Hillside 15/07/2026"",             ""location-track-type"": ""N/a"",             ""location-venue"": ""S",39,DISCOVERED_UNVERIFIED,,,,,
data\weather-source-audit\turftrax-stream-endpoints\mornington_response.json,TRACK_CONDITION,going-report,"""disableMetic"": [],       ""et-24hr"": 0.49,       ""et-7day"": 2.49,       ""et-since"": 0.14,       ""etEnabled"": true,       ""going-race-date"": ""Monday, 8th June, 2026"",       ""going-report"": ""Heavy 8"",       ""going-report-date"": ""Monday, 15th June, 2026 at 12:36 pm"",       ""going-waypoint-map"": ""https://api.turftrax.co.uk/maps/going-reports/335148_waypoints.svg"",       ""going-zone-map"": ""https://api.turftrax.co.uk/maps/going-reports/335148_zones.svg"",       ""goingReport"": 1,       ""h",30,DISCOVERED_UNVERIFIED,,,,,
data\weather-source-audit\turftrax-stream-endpoints\mornington_response.json,IRRIGATION_GENERAL,irrigation,"reports/335148_zones.svg"",       ""goingReport"": 1,       ""haveManualRain"": false,       ""humidity-current"": 72.83,       ""humidity-max"": 99.99,       ""humidity-min"": 71.41,       ""irrigation-report"": ""24Hrs: 0mm, 7 Days: 0mm"",       ""isDemo"": false,       ""isLastMeeting"": false,       ""location-date"": ""N/a"",       ""location-title"": ""Mornington Raceday "",       ""location-track-type"": ""N/a"",       ""location-venue"": ""Mornington"",       ""mapName"": ""Mornington"",       ""mapping-service"": ""ye",39,DISCOVERED_UNVERIFIED,,,,,
data\weather-source-audit\turftrax-stream-endpoints\mornington_response.json,UPDATED_TIME,updated_at,"Race Window 6\nTurf Report Query:\nSELECT id, map_id, make_date, official_going, additional_comments, weather_comments, stick_comments, status, waypoint_map, zone_map, created_at, updated_at, race_date, watering, rails, stalls, meeting_description\nFROM tthub.going_reports\nWHERE map_id  IN (130,258,276,655)\n\n AND race_date BETWEEN \""2026-06-08 00:00:00\"" AND \""2027-01-10 23:59:59\""\nORDER BY race_date DESC, updated_at DESC\n\n\nReturn: 0\nFiltering out AWT Reports\nreport Race Date:",196,DISCOVERED_UNVERIFIED,,,,,
data\weather-source-audit\turftrax-stream-endpoints\mornington_response.txt,TRACK_CONDITION,going-report,"""et-24hr"": 0.49,             ""et-7day"": 2.49,             ""et-since"": 0.14,             ""etEnabled"": true,             ""going-race-date"": ""Monday, 8th June, 2026"",             ""going-report"": ""Heavy 8"",             ""going-report-date"": ""Monday, 15th June, 2026 at 12:36 pm"",             ""going-waypoint-map"": ""https://api.turftrax.co.uk/maps/going-reports/335148_waypoints.svg"",             ""going-zone-map"": ""https://api.turftrax.co.uk/maps/going-reports/335148_zones.svg"",             ""g",30,DISCOVERED_UNVERIFIED,,,,,
data\weather-source-audit\turftrax-stream-endpoints\mornington_response.txt,IRRIGATION_GENERAL,irrigation,"""goingReport"": 1,             ""haveManualRain"": false,             ""humidity-current"": 72.83,             ""humidity-max"": 99.99,             ""humidity-min"": 71.41,             ""irrigation-report"": ""24Hrs: 0mm, 7 Days: 0mm"",             ""isDemo"": false,             ""isLastMeeting"": false,             ""location-date"": ""N/a"",             ""location-title"": ""Mornington Raceday "",             ""location-track-type"": ""N/a"",             ""location-venue"": ""Mornington"",             ""mapName"":",39,DISCOVERED_UNVERIFIED,,,,,
docs\beta-specifications\ENGINEERING\ARCHIVE\OUTLINE_RECOVERY_V0\WORKSPACES\BETA-002_MEETINGS.md,IRRIGATION_24H,irrigation 24,"ed row = thin blue outline/pale tint. EDGEiQ Read max three governed phrases. OPEN = accessible arrow.  ## Selected rail Meeting/venue, track, rail, weather, wind, temp, rain 24h, irrigation 24h, official update, evidence-backed notes, `Open Meeting →`.  ## Race strip Compact horizontal cards: race, time, distance, class/name, restriction, field size, status, open.  ## Acceptance Full width; no stacked launcher cards; all three days; accurate totals; selected rail and race strip preserve",28,DISCOVERED_UNVERIFIED,,,,,
docs\beta-specifications\ENGINEERING\ARCHIVE\OUTLINE_RECOVERY_V0\WORKSPACES\BETA-002_MEETINGS.md,IRRIGATION_GENERAL,irrigation,"ed row = thin blue outline/pale tint. EDGEiQ Read max three governed phrases. OPEN = accessible arrow.  ## Selected rail Meeting/venue, track, rail, weather, wind, temp, rain 24h, irrigation 24h, official update, evidence-backed notes, `Open Meeting →`.  ## Race strip Compact horizontal cards: race, time, distance, class/name, restriction, field size, status, open.  ## Acceptance Full width; no stacked launcher cards; all three days; accurate totals; selected rail and race strip preser",28,DISCOVERED_UNVERIFIED,,,,,
docs\beta-specifications\ENGINEERING\ARCHIVE\OUTLINE_RECOVERY_V0\WORKSPACES\BETA-002_MEETINGS.md,RAINFALL_24H,rain 24h,"ed. Selected row = thin blue outline/pale tint. EDGEiQ Read max three governed phrases. OPEN = accessible arrow.  ## Selected rail Meeting/venue, track, rail, weather, wind, temp, rain 24h, irrigation 24h, official update, evidence-backed notes, `Open Meeting →`.  ## Race strip Compact horizontal cards: race, time, distance, class/name, restriction, field size, status, open.  ## Acceptance Full width; no stacked launcher cards; all three days; accurate totals; selected rail and race",28,DISCOVERED_UNVERIFIED,,,,,
docs\beta-specifications\ENGINEERING\ARCHIVE\OUTLINE_RECOVERY_V0\WORKSPACES\BETA-003_MEETING_DETAIL.md,IRRIGATION_24H,Irrigation 24,", colour semantics or data ownership.   ## Persistent shell Meeting title/date/status/first/last/update. Condition strip: `Track | Rail | Weather | Wind | Temperature | Rain 24h | Irrigation 24h | Official Update` Exact tabs: `RACES | SCRATCHINGS | GEAR CHANGES | TRACK | WEATHER | RESULTS`  ## State/navigation Tab switching preserves meeting/day. Opening race preserves meeting/tab/race context. Return restores same tab and practical scroll position.  ## Operational rail Governed highlight",15,DISCOVERED_UNVERIFIED,,,,,
docs\beta-specifications\ENGINEERING\ARCHIVE\OUTLINE_RECOVERY_V0\WORKSPACES\BETA-003_MEETING_DETAIL.md,IRRIGATION_GENERAL,Irrigation,", colour semantics or data ownership.   ## Persistent shell Meeting title/date/status/first/last/update. Condition strip: `Track | Rail | Weather | Wind | Temperature | Rain 24h | Irrigation 24h | Official Update` Exact tabs: `RACES | SCRATCHINGS | GEAR CHANGES | TRACK | WEATHER | RESULTS`  ## State/navigation Tab switching preserves meeting/day. Opening race preserves meeting/tab/race context. Return restores same tab and practical scroll position.  ## Operational rail Governed highli",15,DISCOVERED_UNVERIFIED,,,,,
docs\beta-specifications\ENGINEERING\ARCHIVE\OUTLINE_RECOVERY_V0\WORKSPACES\BETA-003_MEETING_DETAIL.md,RAINFALL_24H,Rain 24h,", alignment, colour semantics or data ownership.   ## Persistent shell Meeting title/date/status/first/last/update. Condition strip: `Track | Rail | Weather | Wind | Temperature | Rain 24h | Irrigation 24h | Official Update` Exact tabs: `RACES | SCRATCHINGS | GEAR CHANGES | TRACK | WEATHER | RESULTS`  ## State/navigation Tab switching preserves meeting/day. Opening race preserves meeting/tab/race context. Return restores same tab and practical scroll position.  ## Operational rail Go",15,DISCOVERED_UNVERIFIED,,,,,
docs\beta-specifications\ENGINEERING\ARCHIVE\OUTLINE_RECOVERY_V0\WORKSPACES\BETA-006_TRACK.md,TRACK_CONDITION,Track Condition,"ce-backed historical profile?**  ## Governing rules Inherits MASTER-001. Do not reinterpret approved hierarchy, columns, alignment, colour semantics or data ownership.   ## Layout Track Condition; Rail + full curated map; Track Details; Track Pattern Analysis; Historical Comparison; Track Notes; operational rail.  ## Condition fields `Official Rating | Inspection Time | Going Stick | Penetrometer Average | Moisture | Rain 24h | Rain 7d | Irrigation 24h | Irrigation 7d | Track Manager`  ## D",13,DISCOVERED_UNVERIFIED,,,,,
docs\beta-specifications\ENGINEERING\ARCHIVE\OUTLINE_RECOVERY_V0\WORKSPACES\BETA-006_TRACK.md,IRRIGATION_24H,Irrigation 24,"istorical Comparison; Track Notes; operational rail.  ## Condition fields `Official Rating | Inspection Time | Going Stick | Penetrometer Average | Moisture | Rain 24h | Rain 7d | Irrigation 24h | Irrigation 7d | Track Manager`  ## Details `Track Type | Surface | Circumference | Straight` Exclude track record and class record.  ## Pattern analysis Governed plain racing language for lane/settling outcomes. Use Track Profile/Track Pattern Analysis, not Track Bias.  ## Historical comparison",16,DISCOVERED_UNVERIFIED,,,,,
docs\beta-specifications\ENGINEERING\ARCHIVE\OUTLINE_RECOVERY_V0\WORKSPACES\BETA-006_TRACK.md,IRRIGATION_7D,Irrigation 7d,"son; Track Notes; operational rail.  ## Condition fields `Official Rating | Inspection Time | Going Stick | Penetrometer Average | Moisture | Rain 24h | Rain 7d | Irrigation 24h | Irrigation 7d | Track Manager`  ## Details `Track Type | Surface | Circumference | Straight` Exclude track record and class record.  ## Pattern analysis Governed plain racing language for lane/settling outcomes. Use Track Profile/Track Pattern Analysis, not Track Bias.  ## Historical comparison Context = current",16,DISCOVERED_UNVERIFIED,,,,,
docs\beta-specifications\ENGINEERING\ARCHIVE\OUTLINE_RECOVERY_V0\WORKSPACES\BETA-006_TRACK.md,IRRIGATION_GENERAL,Irrigation,"istorical Comparison; Track Notes; operational rail.  ## Condition fields `Official Rating | Inspection Time | Going Stick | Penetrometer Average | Moisture | Rain 24h | Rain 7d | Irrigation 24h | Irrigation 7d | Track Manager`  ## Details `Track Type | Surface | Circumference | Straight` Exclude track record and class record.  ## Pattern analysis Governed plain racing language for lane/settling outcomes. Use Track Profile/Track Pattern Analysis, not Track Bias.  ## Historical comparis",16,DISCOVERED_UNVERIFIED,,,,,
docs\beta-specifications\ENGINEERING\ARCHIVE\OUTLINE_RECOVERY_V0\WORKSPACES\BETA-006_TRACK.md,RAINFALL_24H,Rain 24h,"k Pattern Analysis; Historical Comparison; Track Notes; operational rail.  ## Condition fields `Official Rating | Inspection Time | Going Stick | Penetrometer Average | Moisture | Rain 24h | Rain 7d | Irrigation 24h | Irrigation 7d | Track Manager`  ## Details `Track Type | Surface | Circumference | Straight` Exclude track record and class record.  ## Pattern analysis Governed plain racing language for lane/settling outcomes. Use Track Profile/Track Pattern Analysis, not Track Bias.",16,DISCOVERED_UNVERIFIED,,,,,
docs\beta-specifications\ENGINEERING\ARCHIVE\OUTLINE_RECOVERY_V0\WORKSPACES\BETA-006_TRACK.md,PENETROMETER,Penetrometer,l curated map; Track Details; Track Pattern Analysis; Historical Comparison; Track Notes; operational rail.  ## Condition fields `Official Rating | Inspection Time | Going Stick | Penetrometer Average | Moisture | Rain 24h | Rain 7d | Irrigation 24h | Irrigation 7d | Track Manager`  ## Details `Track Type | Surface | Circumference | Straight` Exclude track record and class record.  ## Pattern analysis Governed plain racing language for lane/settling outcomes. Use Track Profile/Track Patt,16,DISCOVERED_UNVERIFIED,,,,,
docs\beta-specifications\ENGINEERING\ARCHIVE\OUTLINE_RECOVERY_V0\WORKSPACES\BETA-006_TRACK.md,GOING_STICK,Going Stick,on; Rail + full curated map; Track Details; Track Pattern Analysis; Historical Comparison; Track Notes; operational rail.  ## Condition fields `Official Rating | Inspection Time | Going Stick | Penetrometer Average | Moisture | Rain 24h | Rain 7d | Irrigation 24h | Irrigation 7d | Track Manager`  ## Details `Track Type | Surface | Circumference | Straight` Exclude track record and class record.  ## Pattern analysis Governed plain racing language for lane/settling outcomes. Use Track Pro,16,DISCOVERED_UNVERIFIED,,,,,
docs\beta-specifications\ENGINEERING\ARCHIVE\OUTLINE_RECOVERY_V0\WORKSPACES\BETA-006_TRACK.md,TRACK_MANAGER_COMMENT,Track Manager,"; operational rail.  ## Condition fields `Official Rating | Inspection Time | Going Stick | Penetrometer Average | Moisture | Rain 24h | Rain 7d | Irrigation 24h | Irrigation 7d | Track Manager`  ## Details `Track Type | Surface | Circumference | Straight` Exclude track record and class record.  ## Pattern analysis Governed plain racing language for lane/settling outcomes. Use Track Profile/Track Pattern Analysis, not Track Bias.  ## Historical comparison Context = current rating + rail.",16,DISCOVERED_UNVERIFIED,,,,,
docs\beta-specifications\ENGINEERING\ARCHIVE\OUTLINE_RECOVERY_V0\WORKSPACES\BETA-006_TRACK.md,UPDATED_TIME,Inspection Time,yout Track Condition; Rail + full curated map; Track Details; Track Pattern Analysis; Historical Comparison; Track Notes; operational rail.  ## Condition fields `Official Rating | Inspection Time | Going Stick | Penetrometer Average | Moisture | Rain 24h | Rain 7d | Irrigation 24h | Irrigation 7d | Track Manager`  ## Details `Track Type | Surface | Circumference | Straight` Exclude track record and class record.  ## Pattern analysis Governed plain racing language for lane/settling outcomes.,16,DISCOVERED_UNVERIFIED,,,,,
docs\beta-specifications\ENGINEERING\WORKSPACES\BETA-002_MEETINGS_ENGINEERING.md,UPDATED_TIME,Last Updated,"required migration are deliberately separated. ## 1. Document Control - Specification ID: BETA-002 - Workspace: MEETINGS - Version: V1 - Status: Canonical engineering authority - Last Updated: 2026-07-12 - Audit: scripts/audit_edgeiq_engineering_specification_library_v1.py  ## 2. Purpose Where should the analyst be looking today? The workspace must answer this with governed evidence, not unsupported synthesis. React renders supplied view models only.  ## 3. Scope In scope: layout, data",9,DISCOVERED_UNVERIFIED,,,,,
docs\beta-specifications\ENGINEERING\WORKSPACES\BETA-003_MEETING_DETAIL_ENGINEERING.md,IRRIGATION_24H,Irrigation 24,"fields are Meeting title, Date, Status, Race count, First race, Last race and Last update. Persistent condition strip fields are Track, Rail, Weather, Wind, Temperature, Rain 24h, Irrigation 24h and Official Update. Exact tab order is RACES, SCRATCHINGS, GEAR CHANGES, TRACK, WEATHER, RESULTS.  ## 6. Current Repository Trace CURRENT IMPLEMENTATION TRACE: - `src/edgeiq-os/race/RaceFileV3.tsx` - `src/edgeiq-os/race/components/AppNavigation.tsx` - `src/edgeiq-os/race/components/MeetingsWorksp",25,DISCOVERED_UNVERIFIED,,,,,
docs\beta-specifications\ENGINEERING\WORKSPACES\BETA-003_MEETING_DETAIL_ENGINEERING.md,IRRIGATION_GENERAL,Irrigation,"fields are Meeting title, Date, Status, Race count, First race, Last race and Last update. Persistent condition strip fields are Track, Rail, Weather, Wind, Temperature, Rain 24h, Irrigation 24h and Official Update. Exact tab order is RACES, SCRATCHINGS, GEAR CHANGES, TRACK, WEATHER, RESULTS.  ## 6. Current Repository Trace CURRENT IMPLEMENTATION TRACE: - `src/edgeiq-os/race/RaceFileV3.tsx` - `src/edgeiq-os/race/components/AppNavigation.tsx` - `src/edgeiq-os/race/components/MeetingsWor",25,DISCOVERED_UNVERIFIED,,,,,
docs\beta-specifications\ENGINEERING\WORKSPACES\BETA-003_MEETING_DETAIL_ENGINEERING.md,RAINFALL_24H,Rain 24h,"nt header fields are Meeting title, Date, Status, Race count, First race, Last race and Last update. Persistent condition strip fields are Track, Rail, Weather, Wind, Temperature, Rain 24h, Irrigation 24h and Official Update. Exact tab order is RACES, SCRATCHINGS, GEAR CHANGES, TRACK, WEATHER, RESULTS.  ## 6. Current Repository Trace CURRENT IMPLEMENTATION TRACE: - `src/edgeiq-os/race/RaceFileV3.tsx` - `src/edgeiq-os/race/components/AppNavigation.tsx` - `src/edgeiq-os/race/components",25,DISCOVERED_UNVERIFIED,,,,,
docs\beta-specifications\ENGINEERING\WORKSPACES\BETA-003_MEETING_DETAIL_ENGINEERING.md,UPDATED_TIME,Last Updated,"red migration are deliberately separated. ## 1. Document Control - Specification ID: BETA-003 - Workspace: MEETING DETAIL - Version: V1 - Status: Canonical engineering authority - Last Updated: 2026-07-12 - Audit: scripts/audit_edgeiq_engineering_specification_library_v1.py  ## 2. Purpose Keep selected meeting context stable across races, scratchings, gear, track, weather and results. The workspace must answer this with governed evidence, not unsupported synthesis. React renders supplied",9,DISCOVERED_UNVERIFIED,,,,,
docs\beta-specifications\ENGINEERING\WORKSPACES\BETA-006_TRACK_ENGINEERING.md,IRRIGATION_24H,Irrigation 24,"uts or checkpoint copies.  ## 5. Locked Product Decisions Official fields include Official Rating, Inspection Time, Going Stick, Penetrometer Average, Moisture, Rain 24h, Rain 7d, Irrigation 24h, Irrigation 7d and Track Manager. Remove Track Record and Class Record. Use Track Pattern Analysis, not Track Bias as primary heading.  ## 6. Current Repository Trace CURRENT IMPLEMENTATION TRACE: - `src/edgeiq-os/race/RaceFileV3.tsx` - `src/edgeiq-os/race/components/AppNavigation.tsx` - `src/edge",25,DISCOVERED_UNVERIFIED,,,,,
docs\beta-specifications\ENGINEERING\WORKSPACES\BETA-006_TRACK_ENGINEERING.md,IRRIGATION_7D,Irrigation 7d,"t copies.  ## 5. Locked Product Decisions Official fields include Official Rating, Inspection Time, Going Stick, Penetrometer Average, Moisture, Rain 24h, Rain 7d, Irrigation 24h, Irrigation 7d and Track Manager. Remove Track Record and Class Record. Use Track Pattern Analysis, not Track Bias as primary heading.  ## 6. Current Repository Trace CURRENT IMPLEMENTATION TRACE: - `src/edgeiq-os/race/RaceFileV3.tsx` - `src/edgeiq-os/race/components/AppNavigation.tsx` - `src/edgeiq-os/race/compo",25,DISCOVERED_UNVERIFIED,,,,,
docs\beta-specifications\ENGINEERING\WORKSPACES\BETA-006_TRACK_ENGINEERING.md,IRRIGATION_GENERAL,Irrigation,"uts or checkpoint copies.  ## 5. Locked Product Decisions Official fields include Official Rating, Inspection Time, Going Stick, Penetrometer Average, Moisture, Rain 24h, Rain 7d, Irrigation 24h, Irrigation 7d and Track Manager. Remove Track Record and Class Record. Use Track Pattern Analysis, not Track Bias as primary heading.  ## 6. Current Repository Trace CURRENT IMPLEMENTATION TRACE: - `src/edgeiq-os/race/RaceFileV3.tsx` - `src/edgeiq-os/race/components/AppNavigation.tsx` - `src/e",25,DISCOVERED_UNVERIFIED,,,,,
docs\beta-specifications\ENGINEERING\WORKSPACES\BETA-006_TRACK_ENGINEERING.md,RAINFALL_24H,Rain 24h,"engines, model outputs or checkpoint copies.  ## 5. Locked Product Decisions Official fields include Official Rating, Inspection Time, Going Stick, Penetrometer Average, Moisture, Rain 24h, Rain 7d, Irrigation 24h, Irrigation 7d and Track Manager. Remove Track Record and Class Record. Use Track Pattern Analysis, not Track Bias as primary heading.  ## 6. Current Repository Trace CURRENT IMPLEMENTATION TRACE: - `src/edgeiq-os/race/RaceFileV3.tsx` - `src/edgeiq-os/race/components/AppNav",25,DISCOVERED_UNVERIFIED,,,,,
docs\beta-specifications\ENGINEERING\WORKSPACES\BETA-006_TRACK_ENGINEERING.md,PENETROMETER,Penetrometer,"er raw warehouse files, pricing engines, model outputs or checkpoint copies.  ## 5. Locked Product Decisions Official fields include Official Rating, Inspection Time, Going Stick, Penetrometer Average, Moisture, Rain 24h, Rain 7d, Irrigation 24h, Irrigation 7d and Track Manager. Remove Track Record and Class Record. Use Track Pattern Analysis, not Track Bias as primary heading.  ## 6. Current Repository Trace CURRENT IMPLEMENTATION TRACE: - `src/edgeiq-os/race/RaceFileV3.tsx` - `src/edge",25,DISCOVERED_UNVERIFIED,,,,,
docs\beta-specifications\ENGINEERING\WORKSPACES\BETA-006_TRACK_ENGINEERING.md,GOING_STICK,Going Stick,"- Do not alter raw warehouse files, pricing engines, model outputs or checkpoint copies.  ## 5. Locked Product Decisions Official fields include Official Rating, Inspection Time, Going Stick, Penetrometer Average, Moisture, Rain 24h, Rain 7d, Irrigation 24h, Irrigation 7d and Track Manager. Remove Track Record and Class Record. Use Track Pattern Analysis, not Track Bias as primary heading.  ## 6. Current Repository Trace CURRENT IMPLEMENTATION TRACE: - `src/edgeiq-os/race/RaceFileV3.ts",25,DISCOVERED_UNVERIFIED,,,,,
docs\beta-specifications\ENGINEERING\WORKSPACES\BETA-006_TRACK_ENGINEERING.md,TRACK_MANAGER_COMMENT,Track Manager,"ocked Product Decisions Official fields include Official Rating, Inspection Time, Going Stick, Penetrometer Average, Moisture, Rain 24h, Rain 7d, Irrigation 24h, Irrigation 7d and Track Manager. Remove Track Record and Class Record. Use Track Pattern Analysis, not Track Bias as primary heading.  ## 6. Current Repository Trace CURRENT IMPLEMENTATION TRACE: - `src/edgeiq-os/race/RaceFileV3.tsx` - `src/edgeiq-os/race/components/AppNavigation.tsx` - `src/edgeiq-os/race/components/MeetingsWork",25,DISCOVERED_UNVERIFIED,,,,,
docs\beta-specifications\ENGINEERING\WORKSPACES\BETA-006_TRACK_ENGINEERING.md,UPDATED_TIME,Last Updated,"and required migration are deliberately separated. ## 1. Document Control - Specification ID: BETA-006 - Workspace: TRACK - Version: V1 - Status: Canonical engineering authority - Last Updated: 2026-07-12 - Audit: scripts/audit_edgeiq_engineering_specification_library_v1.py  ## 2. Purpose Explain official track, rail, physical profile and governed track-pattern analysis. The workspace must answer this with governed evidence, not unsupported synthesis. React renders supplied view models o",9,DISCOVERED_UNVERIFIED,,,,,
docs\beta-specifications\WORKSPACES\EDGEIQ_ENGINEERING_SPEC_RECOVERY\EDGEIQ_ENGINEERING_SPEC_RECOVERY\WORKSPACES\BETA-002_MEETINGS.md,IRRIGATION_24H,irrigation 24,"ed row = thin blue outline/pale tint. EDGEiQ Read max three governed phrases. OPEN = accessible arrow.  ## Selected rail Meeting/venue, track, rail, weather, wind, temp, rain 24h, irrigation 24h, official update, evidence-backed notes, `Open Meeting →`.  ## Race strip Compact horizontal cards: race, time, distance, class/name, restriction, field size, status, open.  ## Acceptance Full width; no stacked launcher cards; all three days; accurate totals; selected rail and race strip preserve",28,DISCOVERED_UNVERIFIED,,,,,
docs\beta-specifications\WORKSPACES\EDGEIQ_ENGINEERING_SPEC_RECOVERY\EDGEIQ_ENGINEERING_SPEC_RECOVERY\WORKSPACES\BETA-002_MEETINGS.md,IRRIGATION_GENERAL,irrigation,"ed row = thin blue outline/pale tint. EDGEiQ Read max three governed phrases. OPEN = accessible arrow.  ## Selected rail Meeting/venue, track, rail, weather, wind, temp, rain 24h, irrigation 24h, official update, evidence-backed notes, `Open Meeting →`.  ## Race strip Compact horizontal cards: race, time, distance, class/name, restriction, field size, status, open.  ## Acceptance Full width; no stacked launcher cards; all three days; accurate totals; selected rail and race strip preser",28,DISCOVERED_UNVERIFIED,,,,,
docs\beta-specifications\WORKSPACES\EDGEIQ_ENGINEERING_SPEC_RECOVERY\EDGEIQ_ENGINEERING_SPEC_RECOVERY\WORKSPACES\BETA-002_MEETINGS.md,RAINFALL_24H,rain 24h,"ed. Selected row = thin blue outline/pale tint. EDGEiQ Read max three governed phrases. OPEN = accessible arrow.  ## Selected rail Meeting/venue, track, rail, weather, wind, temp, rain 24h, irrigation 24h, official update, evidence-backed notes, `Open Meeting →`.  ## Race strip Compact horizontal cards: race, time, distance, class/name, restriction, field size, status, open.  ## Acceptance Full width; no stacked launcher cards; all three days; accurate totals; selected rail and race",28,DISCOVERED_UNVERIFIED,,,,,
docs\beta-specifications\WORKSPACES\EDGEIQ_ENGINEERING_SPEC_RECOVERY\EDGEIQ_ENGINEERING_SPEC_RECOVERY\WORKSPACES\BETA-003_MEETING_DETAIL.md,IRRIGATION_24H,Irrigation 24,", colour semantics or data ownership.   ## Persistent shell Meeting title/date/status/first/last/update. Condition strip: `Track | Rail | Weather | Wind | Temperature | Rain 24h | Irrigation 24h | Official Update` Exact tabs: `RACES | SCRATCHINGS | GEAR CHANGES | TRACK | WEATHER | RESULTS`  ## State/navigation Tab switching preserves meeting/day. Opening race preserves meeting/tab/race context. Return restores same tab and practical scroll position.  ## Operational rail Governed highlight",15,DISCOVERED_UNVERIFIED,,,,,
docs\beta-specifications\WORKSPACES\EDGEIQ_ENGINEERING_SPEC_RECOVERY\EDGEIQ_ENGINEERING_SPEC_RECOVERY\WORKSPACES\BETA-003_MEETING_DETAIL.md,IRRIGATION_GENERAL,Irrigation,", colour semantics or data ownership.   ## Persistent shell Meeting title/date/status/first/last/update. Condition strip: `Track | Rail | Weather | Wind | Temperature | Rain 24h | Irrigation 24h | Official Update` Exact tabs: `RACES | SCRATCHINGS | GEAR CHANGES | TRACK | WEATHER | RESULTS`  ## State/navigation Tab switching preserves meeting/day. Opening race preserves meeting/tab/race context. Return restores same tab and practical scroll position.  ## Operational rail Governed highli",15,DISCOVERED_UNVERIFIED,,,,,
docs\beta-specifications\WORKSPACES\EDGEIQ_ENGINEERING_SPEC_RECOVERY\EDGEIQ_ENGINEERING_SPEC_RECOVERY\WORKSPACES\BETA-003_MEETING_DETAIL.md,RAINFALL_24H,Rain 24h,", alignment, colour semantics or data ownership.   ## Persistent shell Meeting title/date/status/first/last/update. Condition strip: `Track | Rail | Weather | Wind | Temperature | Rain 24h | Irrigation 24h | Official Update` Exact tabs: `RACES | SCRATCHINGS | GEAR CHANGES | TRACK | WEATHER | RESULTS`  ## State/navigation Tab switching preserves meeting/day. Opening race preserves meeting/tab/race context. Return restores same tab and practical scroll position.  ## Operational rail Go",15,DISCOVERED_UNVERIFIED,,,,,
docs\beta-specifications\WORKSPACES\EDGEIQ_ENGINEERING_SPEC_RECOVERY\EDGEIQ_ENGINEERING_SPEC_RECOVERY\WORKSPACES\BETA-006_TRACK.md,TRACK_CONDITION,Track Condition,"ce-backed historical profile?**  ## Governing rules Inherits MASTER-001. Do not reinterpret approved hierarchy, columns, alignment, colour semantics or data ownership.   ## Layout Track Condition; Rail + full curated map; Track Details; Track Pattern Analysis; Historical Comparison; Track Notes; operational rail.  ## Condition fields `Official Rating | Inspection Time | Going Stick | Penetrometer Average | Moisture | Rain 24h | Rain 7d | Irrigation 24h | Irrigation 7d | Track Manager`  ## D",13,DISCOVERED_UNVERIFIED,,,,,
